id,dateLabel,round,field,time,categoryId,categoryLabel,group,home,away,status,homeScore,awayScore,resultType,note
cal-1,17 DE MAYO FECHA 1,1,CAMPO 1,09:00,sub6,SUB 6,Único,JM SPORT,RENACE JUVENTUD,jugado,2,2,normal,
cal-2,17 DE MAYO FECHA 1,1,CAMPO 1,09:40,sub6,SUB 6,Único,BENJAMIN FC,CLUB DEPORTIVO LARA,jugado,0,2,normal,
cal-3,17 DE MAYO FECHA 1,1,CAMPO 1,10:20,sub6,SUB 6,Único,TOLENTINO FC,GUERREROS DE MANCHAY,jugado,0,4,normal,
cal-4,17 DE MAYO FECHA 1,1,CAMPO 1,11:00,sub8,SUB 8 (A),GRUPO A,JYB,DREAM TEAM,jugado,2,0,normal,
cal-5,17 DE MAYO FECHA 1,1,CAMPO 2,09:00,sub8,SUB 8 (B),GRUPO B,BENJAMIN FC,MATHE SPORT,jugado,1,3,normal,
cal-6,17 DE MAYO FECHA 1,1,CAMPO 2,09:40,sub8,SUB 8 (A),GRUPO A,TOLENTINO FC,JM SPORT,jugado,1,4,normal,
cal-7,17 DE MAYO FECHA 1,1,CAMPO 2,10:20,sub8,SUB 8 (A),GRUPO A,FOVA,RENACE JUVENTUD,jugado,2,1,normal,
cal-8,17 DE MAYO FECHA 1,1,CAMPO 2,11:00,sub8,SUB 8 (B),GRUPO B,VASQUEZ FC,GUERREROS DE MANCHAY,jugado,0,6,normal,
cal-9,17 DE MAYO FECHA 1,1,CAMPO 2,12:00,sub10,SUB 10 (B),GRUPO B,VASQUEZ FC,TALENTOS UNIDOS,jugado,1,4,normal,Marcador transcrito desde imagen: se interpreta VASQUEZ FC 1 - 4 TALENTOS UNIDOS.
cal-10,17 DE MAYO FECHA 1,1,CAMPO 2,12:50,sub10,SUB 10 (B),GRUPO B,GUERREROS DE MANCHAY,DREAM TEAM,jugado,5,1,normal,
cal-11,17 DE MAYO FECHA 1,1,CAMPO 2,13:40,sub10,SUB 10 (B),GRUPO B,JM SPORT,TOLENTINO FC,jugado,3,0,normal,
cal-12,17 DE MAYO FECHA 1,1,CAMPO 2,14:30,sub10,SUB 10 (A),GRUPO A,MATHE SPORT,BENJAMIN FC,jugado,6,0,normal,
cal-13,17 DE MAYO FECHA 1,1,CAMPO 3,09:00,sub12,SUB 12 (B),GRUPO B,DREAM TEAM,CLUB DEPORTIVO LARA,jugado,2,0,wo,DREAM TEAM ganó por W.O.; para tabla se registra 2-0.
cal-14,17 DE MAYO FECHA 1,1,CAMPO 3,09:50,sub12,SUB 12 (A),GRUPO A,MATHE SPORT,JYB,jugado,2,3,normal,
cal-15,17 DE MAYO FECHA 1,1,CAMPO 3,10:40,sub12,SUB 12 (A),GRUPO A,SPORTING JF ONCE,FOVA,jugado,4,2,normal,
cal-16,17 DE MAYO FECHA 1,1,CAMPO 3,11:30,sub12,SUB 12 (B),GRUPO B,JM SPORT,FOVITA,jugado,5,0,normal,
cal-17,17 DE MAYO FECHA 1,1,CAMPO 3,12:20,sub10,SUB 10 (A),GRUPO A,TALENTOS DEL SUR,SPORTING JF ONCE,jugado,2,1,normal,
